0,What type of tire is the Potenza RE-71R?,Summer,All-season,Winter,All-terrain
1,True or False: The Potenza RE-71R is a summer Extreme Performance tire.,TRUE,FALSE,,
1,True or False: The Potenza RE-71R is a summer High Performance tire.,FALSE,TRUE,,
1,True or False: The Potenza RE-71R features NanoPro-Tech sidewall inserts.,FALSE,TRUE,,
1,True or False: The Potenza RE-71R is a Touring tire.,FALSE,TRUE,,
0,Which of the following best describes the Potenza RE-71R?,Summer Extreme Performance tire,All-season Ultra-High Performance tire,Summer Performance tire,All-season High Performance tire 
1,True or False: The Potenza RE-71R is made for sports cars and luxury sedans. ,FALSE,TRUE,,
1,True or False: The Potenza RE-71R is made for sports cars.,TRUE,FALSE,,
1,True or False: The Potenza RE-71R is made for economy cars.,FALSE,TRUE,,
0,Which technology in the Potenza RE-71R promotes effective drainage?,Hydro Evacuation Surface,Shoulder Stiffness,Wide Center Rib,Unique Tread Compound
0,Which feature in the Potenza RE-71R provides extreme cornering performance?,Shoulder Stiffness,Wide Center Rib,Unique Tread Compound,Hydro Evacuation Surface
0,Which technology in the Potenza RE-71R provides maximum contact and grip?,Unique Tread Compound,Shoulder Stiffness,Wide Center Rib,Hydro Evacuation Surface
0,Which feature in the Potenza RE-71R promotes agile steering response?,Wide Center Rib,Shoulder Stiffness ,Asymmetrical Construction,Hydro Evacuation Surface
1,True or False: The Potenza RE-71R is an extreme all-season tire engineered for the street and the track.,FALSE,TRUE,,
1,True or False: The Hydro Evacuation Surface technology provides extreme cornering performance.,FALSE,TRUE,,
1,True or False: The Potenza RE-71R incorporates the latest technologies to create a tire that has ultra-high performance handling with all the benefits of an Extreme Performance tire.,TRUE,FALSE,,
1,"True or False: The Potenza RE-71R is not backed by Bridgestone’s 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Potenza RE-71R is backed by Bridgestone’s 90 Day Buy & Try Guarantee.",FALSE,TRUE,,
1,True or False: The RE-71R is a street-legal tire that performs on both dry and wet roads while providing racetrack performance.,TRUE,FALSE,,
1,True or False: The Wide Center Rib feature promotes agile steering response.,TRUE,FALSE,,
