0,The Winterforce LT is which type of tire?,Winter,Summer,All-season,All-terrain
0,The Winterforce LT is designed for which vehicles?,"Light trucks, SUVs, and commercial vehicles","Light trucks, SUVs, and CUVs",Cars and minivans,Commercial vehicles and SUVs
1,True or False: The Winterforce LT is pinned for studs.,TRUE,FALSE,,
1,True or False: The Winterforce LT is pinned for #11 studs.,FALSE,TRUE,,
1,True or False: The Winterforce LT is pinned for #15 studs.,TRUE,FALSE,,
1,True or False: The Winterforce LT is engineered for CUVs.,FALSE,TRUE,,
1,Which studs fit the Winterforce LT?,15,11,,
0,Which feature enhances traction on icy surfaces?,Pinned for Studs,Directional Tread Pattern,Longitudinal Grooves,Nylon Cap Plies
0,Which feature digs into snow for confident traction?,Directional Tread Pattern,Studs ,High-Density Siping,Sweeping Grooves
0,"Which feature maintains grip, handling, and traction in varying winter conditions?",Directional Tread Pattern,Studs ,High-Density Siping,Sweeping Grooves
0,Which feature increases the number of biting edges?,High-Density Siping,Studs ,Directional Tread Pattern,Sweeping Grooves
1,"True or False: The Winterforce LT is backed by Firestone’s Gold Pledge Limited Warranty.",TRUE,FALSE,,
1,True or False: The Winterforce LT is a studless Winter tire.,FALSE,TRUE,,
1,True or False: The Winterforce LT is an all-terrain tire.,FALSE,TRUE,,
1,True or False: The Winterforce LT has sizes for commercial vehicles.,TRUE,FALSE,,
1,True or False: The Winterforce LT is engineered for cars and minivans.,FALSE,TRUE,,
0,Which of these is NOT a feature of the Winterforce LT?,S and T speed-rated sizes ,Pinned for studs,Gold Pledge Limited Warranty,Winter Tire Limited Warranty 
1,True or False: Studs enhance traction on icy surfaces.,TRUE,FALSE,,
1,True or False: The Winterforce LT is a Firestone Winter tire.,TRUE,FALSE,,
1,True or False: The Winterforce LT is available in H speed ratings. ,FALSE,TRUE,,
