0,The WeatherGrip is which type of tire?,All Weather,Max Traction,All Season,All Terrain
1,"True or False: The WeatherGrip tire is a High Performance tire.",FALSE,TRUE,,
1,"True or False: The WeatherGrip tire is a Touring tire.",TRUE,FALSE,,
0,The WeatherGrip tire is designed for which vehicles?,Cars and CUVs,Light trucks and SUVs,Commercial vehicles and SUVs,Light trucks and CUVs
1,"True or False: The WeatherGrip tire is designed for year-round use—including severe snow conditions.",TRUE,FALSE,,
1,"True or False: The WeatherGrip tire is engineered for commercial use.",FALSE,TRUE,,
1,"True or False: The WeatherGrip tire qualifies for the 3 Peak Mountain Snowflake certification.",TRUE,FALSE,,
0,"Which technology uses biting edges to enhance the WeatherGrip tire’s grip on snow and ice?",Full Depth 3D Sipes,Open Shoulder Slots,Full Depth Grooves,Bite Particles
0,Which technology provides enhanced water evacuation?,Open Shoulder Slots,Full Depth 3D Sipes,Bead Filler,Snow Traction Claws 
0,Which technology helps the WeatherGrip tire enhance grip on loose snow?,Snow Traction Claws,Full Depth 3D Sipes,Rounded Footprint,Multicell Compound
0,"Which technology package enhances grip in both rain and snow throughout the tire’s tread life?",TractionTech,Hydro-Grip,Snow Traction Claws,EdgePerformnace
0,Which technology package provides enhanced water evacuation?,Hydro-Grip,TractionTech,Snow Traction Claws,EdgePerformnace
1,"True or False: The WeatherGrip comes in limited sizes with run-flat capability.",FALSE,TRUE,,
1,"True or False: The WeatherGrip is designed for commercial vehicles.",FALSE,TRUE,,
1,"True or False: The WeatherGrip is engineered for cars and CUVs.",TRUE,FALSE,,
1,"True or False: Snow Traction Claws on the center and shoulder blocks enhance grip on loose snow.",TRUE,FALSE,,
1,"True or False: The WeatherGrip’s Rounded Footprint reduces hydroplaning.",TRUE,FALSE,,
1,"True or False: The WeatherGrip is available in H and V speed ratings.",TRUE,FALSE,,
1,"True or False: The WeatherGrip is backed by Firestone’s Gold Pledge Warranty and 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The WeatherGrip has a 65,000-mile/105,000 km limited mileage warranty.",TRUE,FALSE,,
